,batch_size,input_dim,output_dim,device,t_dense,t_sparse,mem_dense,mem_sparse
94,8,20,20,cpu,8.693253621459008e-05,0.00080365976318717,102400,64000
95,8,20,20,cuda:0,9.376304224133492e-05,0.000849329587072134,102400,64000
96,16,1,1,cpu,5.265399813652039e-05,0.0002960470505058765,1024,320
97,16,1,1,cuda:0,5.159936845302582e-05,0.0002965778112411499,1024,320
98,16,1,2,cpu,5.424646660685539e-05,0.0003105532377958298,2048,640
99,16,1,2,cuda:0,5.378546193242073e-05,0.0003075988031923771,2048,640
100,16,1,10,cpu,5.565723404288292e-05,0.00032954318448901175,10240,3200
101,16,1,10,cuda:0,5.5824872106313705e-05,0.00032690316438674925,10240,3200
102,16,1,20,cpu,6.049731746315956e-05,0.00034814225509762766,20480,6400
103,16,1,20,cuda:0,5.547553300857544e-05,0.00034608878195285797,20480,6400
104,16,2,1,cpu,5.531497299671173e-05,0.0003033035434782505,2048,640
105,16,2,1,cuda:0,5.284948274493217e-05,0.0003023257479071617,2048,640
106,16,2,2,cpu,6.181728094816208e-05,0.00031252270564436914,4096,1280
107,16,2,2,cuda:0,6.258562207221985e-05,0.00031746756285429,4096,1280
108,16,2,10,cpu,0.0001076897606253624,0.0003610420972108841,20480,6400
109,16,2,10,cuda:0,0.00010565025731921197,0.00036039957776665685,20480,6400
110,16,2,20,cpu,0.00015672575682401657,0.00039396565407514574,40960,12800
111,16,2,20,cuda:0,0.00014924565330147742,0.0004081086255609989,40960,12800
112,16,10,1,cpu,5.893278867006302e-05,0.0003188573755323887,10240,3200
113,16,10,1,cuda:0,5.634874105453491e-05,0.0003238440491259098,10240,3200
114,16,10,2,cpu,6.685992702841759e-05,0.0003566419705748558,20480,6400
115,16,10,2,cuda:0,6.706248968839646e-05,0.0003528565168380737,20480,6400
116,16,10,10,cpu,0.00012031011283397675,0.0005337757058441639,102400,32000
117,16,10,10,cuda:0,0.00011614058166742325,0.0005610630847513676,102400,32000
118,16,10,20,cpu,0.0001371770165860653,0.0007770288735628128,204800,64000
119,16,10,20,cuda:0,0.0001374702900648117,0.0007923662662506104,204800,64000
120,16,20,1,cpu,5.8381166309118274e-05,0.0003571099601686001,20480,6400
121,16,20,1,cuda:0,5.800388753414154e-05,0.00034988829866051675,20480,6400
122,16,20,2,cpu,6.917165592312813e-05,0.00039401454851031306,40960,12800
123,16,20,2,cuda:0,6.733480840921402e-05,0.0003963053226470947,40960,12800
124,16,20,10,cpu,9.928056970238685e-05,0.0007724961265921593,204800,64000
125,16,20,10,cuda:0,9.701773524284363e-05,0.0007953275926411152,204800,64000
126,16,20,20,cpu,0.00010979194194078445,0.0012315825559198856,409600,128000
127,16,20,20,cuda:0,0.0001072147861123085,0.0012395236641168593,409600,128000
